,Pekerjaan,Perusahaan,Lokasi,Gaji,Link
0,Data Analyst VCBL,Kompas Gramedia - KG Media,"Jakarta Pusat, Jakarta Raya",,https://id.jobstreet.com/id/job/79903027?type=standard&ref=search-standalone#sol=663058fa363504d9782bc9021e81f7638f1b6265
1,Data Analyst,PT Anugrah Persada Alam,Jakarta Raya,,https://id.jobstreet.com/id/job/79887564?type=standard&ref=search-standalone#sol=91c2a041ba7fbe28f658ce1db5b4219519653765
2,Data Analyst,PT Delta Sukses Teknologi,"Tangerang, Banten",Rp 5.000.000 – Rp 7.000.000 per month,https://id.jobstreet.com/id/job/79886911?type=standard&ref=search-standalone#sol=2556a07fe793d11d5ec06489ac3a8df590d20f0c
3,Data Analyst,PT Royal Pesona Indonesia (Somethinc – Beautyhaul),"Jakarta Barat, Jakarta Raya",,https://id.jobstreet.com/id/job/79813169?type=standout&ref=search-standalone#sol=49369df83dbe4b39df854292fc788947eb7f0c5c
4,Junior Analyst,PT. Elabram Systems,Jakarta Raya,"Rp 14,000,000 – Rp 15,000,000 per month",https://id.jobstreet.com/id/job/79939696?type=standard&ref=search-standalone#sol=acf776cbe4b971591a39232c7928d62c90ccbf1c
5,(Junior) Business Intelligent Consultant / Data Scientist,PT. KMS KONSULTASI SOLUSI,"Jakarta Selatan, Jakarta Raya",,https://id.jobstreet.com/id/job/79941004?type=standard&ref=search-standalone#sol=2c3ba63fc5705b7fddedde611389b42ebcab91b1
6,Data Analyst,PT Kelola Jasa Artha (Kejar),"Jakarta Pusat, Jakarta Raya",,https://id.jobstreet.com/id/job/79876567?type=standard&ref=search-standalone#sol=cebbfb4c68f5421540dcfa79d48bd3a922d65044
7,Data Analyst Admin Intern,"PT SMART,Tbk","Jakarta Pusat, Jakarta Raya",,https://id.jobstreet.com/id/job/79898777?type=standard&ref=search-standalone#sol=8efd9fcb634acddb2ede864eae8542a34f4b745e
8,Sales Analyst,CINEPOLIS INDONESIA,"Tangerang, Banten",,https://id.jobstreet.com/id/job/79914706?type=standout&ref=search-standalone#sol=e9ea1a4956f4ee9b39edccdec7feedcef424e543
9,Data Analyst,PT Saka Agung Abadi,"Denpasar, Bali",Rp 7.500.000 – Rp 8.500.000 per month,https://id.jobstreet.com/id/job/79877629?type=standout&ref=search-standalone#sol=5fdf9834e9b34a263a5d567355b1279c9b51fb92
10,Business Analyst,PT Graha Layar Prima,"Jakarta Selatan, Jakarta Raya",,https://id.jobstreet.com/id/job/79935225?type=standout&ref=search-standalone#sol=6733c32000ec5b5fe5a858255fb721e15c9b3500
11,Senior Data Analyst,PT Jiva Agriculture Indonesia,Jakarta Raya,,https://id.jobstreet.com/id/job/79918708?type=standard&ref=search-standalone#sol=5b9ee666d0e7bdd2587fb28f698ebac8a428c25f
12,Sales Data Analyst,PT Guna Bakti Unggul,"Tangerang, Banten",,https://id.jobstreet.com/id/job/79902210?type=standout&ref=search-standalone#sol=eb610f40a3ef7f1f3dd180df6c62df78db35ad4f
13,Data Analyst Regional,Cimory Group,"Jakarta Barat, Jakarta Raya",,https://id.jobstreet.com/id/job/79867115?type=standard&ref=search-standalone#sol=c73f1147eeac58d0f107bfc7065b962f35f9215f
14,Data Analyst & Organizational Support,"PT Berlian Laju Tanker, Tbk","Jakarta Pusat, Jakarta Raya","Rp 6,000,000 – Rp 8,000,000 per month",https://id.jobstreet.com/id/job/79887941?type=standout&ref=search-standalone#sol=080359e76880b931d787ae9b1069b5f17c123103
15,Data Analyst,"PT SMART,Tbk",Jakarta Raya,,https://id.jobstreet.com/id/job/79832229?type=standard&ref=search-standalone#sol=dfc27b911218404ad4bc79c3605ee8f98382f82b
16,Collection Data Analyst (MIS) - Ast. Manager,PT Teknologi Internasional Nusantara,"Yogyakarta, DI Yogyakarta",,https://id.jobstreet.com/id/job/79891269?type=standard&ref=search-standalone#sol=aee962543ba11bcc25345270a2435250f7b06173
17,Credit Data Analyst,PT. Pintar Inovasi Digital,"Jakarta Selatan, Jakarta Raya",,https://id.jobstreet.com/id/job/79902098?type=standout&ref=search-standalone#sol=f4afe69fe7a929f2b3d50cfa5242b3e26b40e67e
18,.NET System Analyst (SA) for application programming,PT Palung Data Sistem,Jakarta Raya,"Rp 16,000,000 – Rp 21,000,000 per month",https://id.jobstreet.com/id/job/79911241?type=standout&ref=search-standalone#sol=81cecdc06e04a7ac36891a2658d34ed7156e3071
19,DATA ANALYST STAFF,PT Bounty Segar Indonesia,"Kabupaten Bandung, Jawa Barat",,https://id.jobstreet.com/id/job/79851414?type=standard&ref=search-standalone#sol=7b6b55baeda0eddfaf6c26ce7cd011fa8816ddfc
20,Data Scientist,PT. Topindo Atlas Asia (Oil TOP1),"Jakarta Pusat, Jakarta Raya",,https://id.jobstreet.com/id/job/79921278?type=standard&ref=search-standalone#sol=17dee8aa8e5a11ed1d37fb091a8e781274cc9345
21,Data Analyst,PT Suryamas Cipta Sentosa,"Jakarta Barat, Jakarta Raya",,https://id.jobstreet.com/id/job/79821015?type=standard&ref=search-standalone#sol=0f30172ddd954be16be3b33a78e71c4a8648ad38
22,System Analyst,PT Warna Abadi Mitra Bersama,"Sleman, DI Yogyakarta",Rp 4.000.000 – Rp 5.000.000 per month,https://id.jobstreet.com/id/job/79851872?type=standout&ref=search-standalone#sol=bf731da22c5dad4828cc0931472a3115d9b0a7b2
23,Coordinator Data Analyst,PT Global Jet Express,"Surakarta, Jawa Tengah",,https://id.jobstreet.com/id/job/79808659?type=standard&ref=search-standalone#sol=4a85188e472db5882b830f2b663fa510666fef10
24,Sales Data Analyst Executive,PT Asian Paints Indonesia,"Jakarta Selatan, Jakarta Raya",Rp 7.000.000 – Rp 10.000.000 per month,https://id.jobstreet.com/id/job/79838043?type=standout&ref=search-standalone#sol=e4fb49f138360bc5aba60a2a4c5812608f8dbc3e
25,DATA ANALYST,PT. CJ FEED AND CARE INDONESIA (Head Office),"Serang, Banten",,https://id.jobstreet.com/id/job/79806631?type=standard&ref=search-standalone#sol=1f734f1e555f1b151d3fd5ba43284bb5c9c40f85
26,Data Analyst Engineer,PT Sky Parking Utama,"Tangerang, Banten",Rp 8.000.000 – Rp 11.000.000 per month,https://id.jobstreet.com/id/job/79850725?type=standout&ref=search-standalone#sol=12d9feee369b903e146bae2f4dc44db9b949ec87
27,Research & Development,PT Bursa Komoditi Dan Derivatif Indonesia,"Jakarta Pusat, Jakarta Raya",,https://id.jobstreet.com/id/job/79902150?type=standout&ref=search-standalone#sol=d20554f8f61369e33a541ef4c4a3535ecd244c8d
28,Data Admin (Data Analyst),PT. Dima Indonesia,Jakarta Raya,,https://id.jobstreet.com/id/job/79821126?type=standard&ref=search-standalone#sol=e0d90ab81ea8f2d5677eb2c1d364fff602544654
29,Sales Data Analyst (Mandarin Skill),PT SGMW Motor Indonesia,"Jakarta Selatan, Jakarta Raya",,https://id.jobstreet.com/id/job/79883681?type=standout&ref=search-standalone#sol=50d8d7b93720cae56e81ca99cb8f0914b1d806e1
30,Middle Office Analyst - Surabaya,PT ISS INDONESIA (Bintaro),"Surabaya, Jawa Timur",,https://id.jobstreet.com/id/job/79833506?type=standout&ref=search-standalone#sol=1244d5b19d2e52b898f4c39d01515fe45243485c
31,Data Science Manager,PT ABM Investama,"Cilandak, Jakarta Raya",Rp 35.000.000 – Rp 45.000.000 per month,https://id.jobstreet.com/id/job/79878989?type=standout&ref=search-standalone#sol=1ffcc96686a01bda8d23f0faf14ba0a5c0a3e808
