,Movie,Date
0,Doraemon: Nobita's Dinosaur,"Japanese
March 15, 1980
August 14, 1982
Thai
August 21, 1982
May 27, 1983
Italian
March 3, 1985
November 27, 2011"
1,"Doraemon: The Records of Nobita, Spaceblazer","Japanese
March 14, 1981
Thai
October 1, 1982
Italian
March 17, 1985"
2,Doraemon: Nobita and the Haunts of Evil,"Japanese
March 13, 1982
Italian
March 10, 1985"
3,Doraemon: Nobita and the Castle of the Undersea Devil,"Japanese
March 12, 1983
Spanish
March 2, 2011
September 19, 2020"
4,Doraemon: Nobita's Great Adventure into the Underworld,"Japanese
March 17, 1984"
5,Doraemon: Nobita's Little Star Wars,"Japanese
March 16, 1985
December 5, 2010"
6,Doraemon: Nobita and the Steel Troops,"Japanese
March 15, 1986
Korean June 15, 1988"
7,Doraemon: Nobita and the Knights on Dinosaurs,"Japanese
March 14, 1987
Spanish
April 25, 2007
August 27, 2020"
8,Doraemon: The Record of Nobita's Parallel Visit to the West,"Japanese
March 12, 1988
July 10, 1992
Korean July 4, 2002
Spanish
November 20, 2012
August 14, 2016"
9,Doraemon: Nobita and the Birth of Japan,"Japanese
March 11, 1989
Spanish
April 7, 1996
Thai
March 11, 2005
September 12, 2020"
10,Doraemon: Nobita and the Animal Planet,"Japanese
March 10, 1990
Viatnamese
December 7, 2012
June 17, 2018"
11,Doraemon: Nobita's Dorabian Nights,"Japanese
March 9, 1991
Spanish
June 15, 2001
Italian
December 24, 2004
December 1, 2012"
12,Doraemon: Nobita and the Kingdom of Clouds,"Japanese
March 7, 1992
Spanish
October 20, 2004
January 25, 2014"
13,Doraemon: Nobita and the Tin Labyrinth,"Japanese
March 6, 1993
Spanish
February 24, 2002
September 14, 2013"
14,Doraemon: Nobita's Three Visionary Swordsmen,"Japanese
March 12, 1994
December 29, 1994
Chinese
August 31, 2011 (CCTV-6)
March 23, 2013
Viatnamese
June 28, 2013"
15,Doraemon: Nobita's Diary on the Creation of the World,"Japanese
March 4, 1995
November 27, 2016"
16,Doraemon: Nobita and the Galaxy Super-express,"Japanese
March 2, 1996
Spanish
October 14, 2003
January 30, 2016"
17,Doraemon: Nobita and the Spiral City,"Japanese
March 8, 1997
Spanish
October 25, 2005 (DVD)
July 25, 2020"
