,Marvel Movies
0,1. Iron Man (2008)
1,2. The Incredible Hulk(2008)
2,3. Iron Man 2 (2010)
3,5. Captain America: The First Avenger (2011)
4,6. Marvel’s The Avengers (2012)
5,7. Iron Man 3 (2013)
6,8. Thor: Dark Knight (2013)
7,9. Kembalinya Avenger Pertama (2014)
8,10. Penjaga Galaksi (2014)
9,11. Avengers: Age of Ultron (2015)
10,12. Ant Man (2015)
11,13. The First Avenger: Civil War(2016)
12,14. Doctor Strange (2016)
13,15. Guardians of the Galaxy Vol.2 (2017)
14,16. Spider-Man: Homecoming (2017)
15,17. Thor: Ragnarok (2017)
16,18. Black Panther (2018)
17,19. Avengers: Infinity War (2018)
18,20. Ant-Man dan The Wasp (2018)
19,21. Captain Marvel (2019)
20,22. Avengers: Endgame (2019)
21,23. Spider-Man: Far from Home (2019)
22,24. Black Widow (2021)
23,25. Shang-Chi and the Legend of the Ten Rings (2021)
24,26. Morbius (2022)
25,27. Eternals (2021)
26,28. Spider-Man ke-28: No Way Home (Rilis: 16 Desember 2021)
27,29. Doctor Strange in the Multiverse of Madness (Rilis: 24 Maret 2022)
28,31. Black Panther: Wakanda Forever (Rilis: 7 Juli 2022)
29,32. Ant-Man and the Wasp: Quantumania (Rilis: 16 Februari 2022)
30,"33. Guardians of the Galaxy, Vol. 3 (Rilis: 4 Mei 2023)"
31,34. The Marvels (di bioskop 10 November 2022)
32,35. Deadpool 3 (masih tanpa judul resmi dan tanggal peluncuran)
